,level_0,index,Gender,Age,Married,NumberofDependents,City,ZipCode,Latitude,Longitude,NumberofReferrals,TenureinMonths,Offer,PhoneService,AvgMonthlyLongDistanceCharges,MultipleLines,InternetService,InternetType,AvgMonthlyGBDownload,OnlineSecurity,OnlineBackup,DeviceProtectionPlan,PremiumTechSupport,StreamingTV,StreamingMovies,StreamingMusic,UnlimitedData,Contract,PaperlessBilling,PaymentMethod,TotalRevenue,CustomerStatus,ChurnCategory
3081,3081,3093,Male,46,No,0,Fallbrook,92028,33.362575,-117.299644,0,2,No Offer,Yes,24.9,No,Yes,DSL,11.0,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,134.7,Churned,Competitor
3082,3082,3094,Male,80,Yes,0,San Diego,92129,32.961064,-117.134917,1,46,Offer B,Yes,5.36,Yes,Yes,Fiber Optic,22.0,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,4926.61,Churned,Competitor
3083,3083,3095,Female,38,Yes,0,Comptche,95427,39.239818,-123.565432,1,5,Offer E,Yes,1.12,No,Yes,Fiber Optic,22.0,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,432.39,Churned,Attitude
3084,3084,3096,Female,33,No,0,Selma,93662,36.545322,-119.642281,0,10,No Offer,No,0.0,No PhoneService,Yes,DSL,23.0,No,Yes,No,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,374.0,Stayed,
3085,3085,3097,Female,73,No,0,Freedom,95019,36.936228,-121.785559,0,13,No Offer,Yes,40.37,No,Yes,Fiber Optic,21.0,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1465.16,Churned,Competitor
3086,3086,3098,Female,55,Yes,0,Castaic,91384,34.506627,-118.699048,3,71,No Offer,Yes,32.13,Yes,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Bank Withdrawal,4118.13,Stayed,
3087,3087,3099,Female,23,No,0,Potrero,91963,32.619465,-116.593605,0,42,Offer B,Yes,29.44,Yes,Yes,Cable,41.0,Yes,Yes,No,No,No,No,Yes,Yes,One Year,Yes,Bank Withdrawal,3658.08,Stayed,
3088,3088,3100,Male,30,No,0,Manhattan Beach,90266,33.889632,-118.39737,0,9,Offer E,Yes,4.81,Yes,Yes,Fiber Optic,69.0,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,962.04,Stayed,
3089,3089,3101,Male,44,Yes,0,Pleasant Hill,94523,37.95338,-122.076886,1,61,No Offer,Yes,45.7,Yes,Yes,Fiber Optic,24.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,9069.15,Churned,Competitor
3090,3090,3102,Male,53,No,0,Avalon,90704,33.391181,-118.421305,0,2,Offer E,Yes,6.74,No,Yes,Fiber Optic,3.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,171.23,Stayed,
3091,3091,3104,Female,56,No,0,Sacramento,95818,38.556306,-121.495817,0,39,No Offer,No,0.0,No PhoneService,Yes,DSL,6.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,1901.89,Stayed,
3092,3092,3105,Male,35,Yes,3,Lagunitas,94938,38.021772,-122.691744,9,15,Offer D,Yes,49.36,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,Yes,Credit Card,980.15,Stayed,
3093,3093,3106,Male,41,No,0,Glendora,91740,34.119363,-117.855059,0,7,Offer E,Yes,30.04,No,Yes,DSL,6.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,488.68,Stayed,
3094,3094,3107,Female,64,No,0,San Diego,92128,33.000269,-117.072093,0,15,Offer D,Yes,39.49,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Credit Card,923.95,Stayed,
3095,3095,3108,Female,35,Yes,0,Escondido,92027,33.141265,-116.967221,5,61,No Offer,Yes,36.13,Yes,Yes,Fiber Optic,23.0,No,No,No,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,8587.83,Stayed,
3096,3096,3109,Female,43,Yes,1,San Bernardino,92401,34.105935,-117.2914,3,19,No Offer,Yes,7.42,No,Yes,DSL,17.0,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1103.88,Stayed,
3097,3097,3110,Male,25,No,0,San Jose,95110,37.34667,-121.910019,0,59,No Offer,Yes,25.89,Yes,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Credit Card,3038.01,Stayed,
3098,3098,3111,Male,61,No,1,Descanso,91916,32.912664,-116.635387,0,30,Offer C,No,0.0,No PhoneService,Yes,DSL,17.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,1307.8,Stayed,
3099,3099,3112,Male,65,Yes,0,Lindsay,93247,36.205465,-119.085807,7,62,Offer B,Yes,27.49,Yes,Yes,Fiber Optic,3.0,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,7333.93,Stayed,
3100,3100,3113,Male,40,Yes,0,Huron,93234,36.217864,-120.080117,2,2,Offer E,Yes,15.14,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Mailed Check,66.18,Churned,Attitude
3101,3101,3114,Female,61,No,0,Glendale,91201,34.17051,-118.289463,0,18,No Offer,Yes,19.93,No,Yes,Fiber Optic,26.0,No,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,1687.58,Stayed,
3102,3102,3115,Female,70,Yes,0,Hughson,95326,37.5923,-120.853288,1,20,No Offer,Yes,8.98,No,Yes,DSL,16.0,No,Yes,No,No,No,Yes,No,Yes,One Year,Yes,Bank Withdrawal,1438.95,Stayed,
3103,3103,3116,Male,57,No,2,Richmond,94805,37.941456,-122.320968,0,5,No Offer,Yes,13.54,No,Yes,DSL,21.0,No,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,302.9,Stayed,
3104,3104,3117,Female,58,Yes,0,Woody,93287,35.710244,-118.881679,1,42,No Offer,Yes,10.73,Yes,Yes,Fiber Optic,22.0,No,No,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,4039.06,Churned,Attitude
3105,3105,3118,Female,43,Yes,0,San Bernardino,92408,34.084909,-117.258107,2,10,No Offer,No,0.0,No PhoneService,Yes,Cable,20.0,Yes,No,Yes,Yes,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,525.5,Stayed,
3106,3106,3119,Female,41,Yes,1,Durham,95938,39.607831,-121.777959,6,52,No Offer,Yes,31.09,Yes,Yes,Fiber Optic,28.0,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,6610.08,Stayed,
3107,3107,3120,Male,21,Yes,1,Paso Robles,93446,35.634222,-120.728341,6,45,Offer B,Yes,17.23,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Bank Withdrawal,1679.05,Stayed,
3108,3108,3121,Male,73,Yes,0,Witter Springs,95493,39.222323,-122.985488,2,69,No Offer,Yes,8.3,Yes,Yes,Fiber Optic,14.0,Yes,No,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Mailed Check,8182.8,Stayed,
3109,3109,3122,Female,52,No,0,Los Angeles,90066,34.002028,-118.430656,0,36,Offer C,Yes,28.41,Yes,Yes,Fiber Optic,4.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,4909.21,Stayed,
3110,3110,3123,Female,72,No,0,Hydesville,95547,40.557314,-124.081662,0,8,No Offer,Yes,2.18,No,Yes,Fiber Optic,13.0,No,No,Yes,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,617.59,Stayed,
3111,3111,3124,Female,54,No,0,Arcadia,91006,34.137319,-118.029837,0,2,No Offer,Yes,15.67,No,Yes,Fiber Optic,8.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,166.54,Stayed,
3112,3112,3125,Male,23,No,0,Penngrove,94951,38.325599,-122.642352,0,5,No Offer,Yes,26.86,No,Yes,DSL,71.0,No,No,Yes,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,425.75,Stayed,
3113,3113,3126,Female,45,No,0,El Dorado,95623,38.63153,-120.842609,0,3,No Offer,Yes,25.96,No,Yes,DSL,7.0,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,274.03,Churned,Dissatisfaction
3114,3114,3127,Female,20,Yes,0,San Dimas,91773,34.102119,-117.815532,6,52,No Offer,Yes,10.59,Yes,Yes,Fiber Optic,48.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,6147.93,Churned,Other
3115,3115,3128,Male,56,No,0,Los Angeles,90002,33.949255,-118.246978,0,13,No Offer,Yes,46.92,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Bank Withdrawal,861.61,Stayed,
3116,3116,3129,Female,60,Yes,2,Los Gatos,95032,37.233034,-121.947427,1,38,No Offer,Yes,36.72,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Credit Card,2158.46,Stayed,
3117,3117,3130,Female,21,No,0,Lemon Grove,91945,32.733564,-117.033713,0,61,Offer B,Yes,15.44,Yes,Yes,Fiber Optic,30.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,7364.84,Stayed,
3118,3118,3131,Male,24,No,0,Seiad Valley,96086,41.924174,-123.260788,0,16,Offer D,Yes,21.04,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Bank Withdrawal,664.09,Churned,Price
3119,3119,3132,Female,28,Yes,2,Deer Park,94576,38.554383,-122.474773,1,35,No Offer,Yes,25.27,Yes,Yes,DSL,82.0,Yes,No,Yes,Yes,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,3453.0,Churned,Other
3120,3120,3133,Female,25,No,2,Camp Nelson,93208,36.057458,-118.591951,0,18,Offer D,Yes,17.51,Yes,Yes,DSL,30.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,1307.88,Stayed,
3121,3121,3134,Male,33,Yes,0,Anaheim,92807,33.848733,-117.788357,6,23,No Offer,Yes,13.79,Yes,Yes,Cable,17.0,No,Yes,No,Yes,No,No,No,Yes,Two Year,No,Credit Card,1731.37,Stayed,
3122,3122,3135,Female,64,No,0,Montclair,91763,34.072121,-117.698319,0,1,No Offer,Yes,21.52,No,Yes,Fiber Optic,25.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,91.22,Churned,Attitude
3123,3123,3136,Female,65,No,0,Igo,96047,40.524535,-122.647172,0,46,No Offer,Yes,16.04,Yes,Yes,DSL,26.0,No,No,Yes,Yes,No,Yes,Yes,Yes,One Year,Yes,Credit Card,3993.19,Stayed,
3124,3124,3137,Male,25,No,0,Coachella,92236,33.680031,-116.171678,0,26,Offer C,No,0.0,No PhoneService,Yes,Cable,47.0,No,No,Yes,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,1022.5,Stayed,
3125,3125,3138,Male,41,No,0,Anaheim,92808,33.850452,-117.726668,0,11,No Offer,Yes,25.24,No,Yes,Fiber Optic,29.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,1093.14,Churned,Attitude
3126,3126,3139,Female,42,Yes,3,Wilton,95693,38.392559,-121.225093,0,35,Offer C,Yes,39.11,Yes,Yes,DSL,23.0,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,3505.75,Stayed,
3127,3127,3140,Female,75,No,0,Ducor,93218,35.846067,-119.004073,0,6,Offer E,Yes,8.91,No,Yes,Fiber Optic,27.0,No,No,Yes,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,507.56,Churned,Competitor
3128,3128,3141,Male,41,Yes,0,Goleta,93117,34.489983,-120.091246,2,31,No Offer,Yes,27.37,No,Yes,DSL,15.0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,One Year,Yes,Credit Card,3272.92,Stayed,
3129,3129,3142,Male,50,No,0,La Habra,90631,33.940619,-117.9513,0,1,No Offer,Yes,22.86,No,Yes,Fiber Optic,25.0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,102.66,Churned,Dissatisfaction
3130,3130,3143,Female,67,No,0,Sylmar,91342,34.321621,-118.399841,0,38,No Offer,Yes,26.1,No,Yes,DSL,27.0,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,3242.45,Churned,Attitude
3131,3131,3144,Female,31,No,0,Sunnyvale,94089,37.421633,-122.009613,0,2,Offer E,Yes,37.76,No,Yes,Fiber Optic,10.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,228.57,Churned,Other
3132,3132,3145,Female,73,Yes,0,Lake Elsinore,92532,33.705836,-117.318204,4,71,Offer A,Yes,43.99,Yes,Yes,Fiber Optic,17.0,Yes,No,No,No,No,No,No,Yes,Two Year,Yes,Credit Card,8799.29,Stayed,
3133,3133,3146,Female,76,No,0,San Diego,92117,32.825086,-117.199424,0,16,No Offer,Yes,17.51,Yes,Yes,Fiber Optic,7.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1630.31,Churned,Attitude
3134,3134,3147,Male,57,Yes,2,Coulterville,95311,37.722127,-120.110174,4,42,Offer B,Yes,9.33,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Credit Card,1246.76,Stayed,
3135,3135,3148,Male,52,No,0,Sacramento,95825,38.590035,-121.412455,0,56,No Offer,Yes,47.82,Yes,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,Yes,Bank Withdrawal,4121.97,Stayed,
3136,3136,3149,Female,23,Yes,0,Anaheim,92805,33.830209,-117.906099,8,18,Offer D,Yes,18.55,Yes,Yes,Fiber Optic,59.0,No,No,No,Yes,Yes,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,1907.07,Stayed,
3137,3137,3150,Female,68,No,0,Chino Hills,91709,33.942895,-117.725644,0,13,No Offer,Yes,10.51,No,Yes,DSL,20.0,No,Yes,Yes,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,867.93,Stayed,
3138,3138,3151,Male,30,Yes,0,Manton,96059,40.426679,-121.850421,1,42,Offer B,Yes,17.31,Yes,Yes,Cable,82.0,Yes,No,No,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,4102.92,Stayed,
3139,3139,3152,Female,21,Yes,0,San Jose,95129,37.305622,-122.000887,4,59,Offer B,Yes,9.23,Yes,Yes,Fiber Optic,48.0,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,6584.47,Churned,Dissatisfaction
3140,3140,3153,Male,39,No,0,Encino,91436,34.152875,-118.486056,0,26,No Offer,No,0.0,No PhoneService,Yes,DSL,6.0,Yes,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,1156.55,Stayed,
3141,3141,3154,Male,58,No,1,Vernalis,95385,37.609095,-121.263381,0,54,No Offer,Yes,20.93,No,Yes,Fiber Optic,11.0,Yes,Yes,No,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,6966.87,Stayed,
3142,3142,3155,Male,27,No,0,Rio Nido,95471,38.522328,-122.97932,0,40,No Offer,Yes,27.47,Yes,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,Yes,Credit Card,2072.75,Stayed,
3143,3143,3156,Male,32,Yes,1,Maywood,90270,33.988572,-118.186565,0,8,Offer E,Yes,37.28,Yes,Yes,DSL,14.0,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Two Year,Yes,Credit Card,944.04,Stayed,
3144,3144,3157,Female,72,Yes,0,San Mateo,94403,37.538309,-122.305109,1,25,No Offer,Yes,19.44,No,Yes,Fiber Optic,4.0,No,Yes,Yes,No,No,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,2677.15,Stayed,
3145,3145,3158,Female,51,No,0,Ventura,93001,34.360261,-119.306383,0,2,Offer E,Yes,49.79,No,Yes,Fiber Optic,22.0,No,No,No,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,255.63,Churned,Attitude
3146,3146,3159,Female,31,Yes,3,Auburn,95603,38.912881,-121.082766,4,42,No Offer,Yes,34.66,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,Yes,Bank Withdrawal,2217.57,Stayed,
3147,3147,3160,Female,21,Yes,1,Oakland,94610,37.808731,-122.238708,2,51,Offer B,Yes,18.42,Yes,Yes,Fiber Optic,47.0,Yes,No,No,Yes,Yes,No,Yes,Yes,One Year,Yes,Mailed Check,5939.47,Stayed,
3148,3148,3161,Female,56,Yes,2,Covina,91723,34.084747,-117.886844,1,58,No Offer,Yes,29.5,Yes,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Credit Card,3220.9,Stayed,
3149,3149,3162,Male,44,Yes,0,Los Angeles,90058,34.001617,-118.222274,1,12,Offer D,Yes,44.6,No,Yes,Fiber Optic,20.0,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,1535.0,Stayed,
3150,3150,3163,Female,59,Yes,3,Arvin,93203,35.116307,-118.817644,10,9,No Offer,Yes,12.55,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Credit Card,285.3,Stayed,
3151,3151,3164,Female,26,No,0,Darwin,93522,36.319181,-117.593053,0,2,Offer E,Yes,41.9,No,Yes,DSL,71.0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,178.2,Stayed,
3152,3152,3165,Female,39,Yes,0,Isleton,95641,38.154823,-121.601358,0,46,Offer B,Yes,4.6,Yes,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Credit Card,1377.5,Stayed,
3153,3153,3166,Male,53,No,0,Hayward,94541,37.674002,-122.076796,0,7,No Offer,Yes,9.14,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Bank Withdrawal,176.28,Churned,Attitude
3154,3154,3167,Male,48,Yes,2,North San Juan,95960,39.423046,-120.984472,1,8,Offer E,Yes,6.78,No,Yes,DSL,24.0,No,No,No,No,No,No,No,Yes,One Year,Yes,Credit Card,399.74,Stayed,
3155,3155,3168,Female,35,No,0,Los Gatos,95032,37.233034,-121.947427,0,16,No Offer,Yes,13.04,Yes,Yes,Fiber Optic,16.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,1298.0,Stayed,
3156,3156,3169,Male,24,Yes,0,Forest Falls,92339,34.067699,-116.903891,5,55,No Offer,Yes,36.17,No,Yes,DSL,69.0,Yes,No,No,No,No,Yes,Yes,No,One Year,No,Credit Card,5186.35,Stayed,
3157,3157,3170,Female,60,No,0,Eldridge,95431,38.348884,-122.51699,0,10,No Offer,Yes,49.7,Yes,Yes,Fiber Optic,10.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1327.7,Churned,Competitor
3158,3158,3171,Female,35,No,0,North Hollywood,91601,34.1692,-118.372498,0,16,Offer D,Yes,46.99,Yes,Yes,Fiber Optic,17.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,1946.14,Churned,Competitor
3159,3159,3172,Female,26,No,0,San Dimas,91773,34.102119,-117.815532,0,5,Offer E,Yes,34.49,Yes,Yes,Fiber Optic,46.0,No,No,No,No,Yes,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,647.25,Churned,Attitude
3160,3160,3173,Female,35,No,0,Torrance,90505,33.807882,-118.347957,0,52,No Offer,Yes,33.84,No,Yes,DSL,5.0,Yes,No,Yes,Yes,No,No,No,Yes,One Year,No,Credit Card,4801.93,Stayed,
3161,3161,3174,Female,52,No,0,San Francisco,94115,37.786031,-122.437301,0,1,Offer E,Yes,49.24,No,Yes,Fiber Optic,8.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,118.89,Churned,Competitor
3162,3162,3175,Male,69,Yes,0,Soulsbyville,95372,37.990574,-120.261821,1,70,No Offer,Yes,17.45,Yes,Yes,Fiber Optic,20.0,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,8307.76,Churned,Competitor
3163,3163,3176,Female,30,Yes,0,Daly City,94015,37.680844,-122.48131,10,62,Offer B,Yes,15.06,Yes,Yes,Fiber Optic,82.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,7098.42,Stayed,
3164,3164,3177,Male,75,Yes,0,Summerland,93067,34.420998,-119.60137,3,49,Offer B,Yes,22.92,Yes,Yes,Fiber Optic,14.0,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,No,Credit Card,5670.33,Churned,Competitor
3165,3165,3178,Male,20,No,0,San Fernando,91340,34.286131,-118.435969,0,4,No Offer,Yes,41.94,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Credit Card,246.06,Stayed,
3166,3166,3179,Female,30,Yes,0,Fair Oaks,95628,38.652065,-121.25441,1,17,Offer D,Yes,41.95,No,Yes,Fiber Optic,51.0,Yes,No,No,Yes,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,2287.6,Churned,Price
3167,3167,3180,Male,37,Yes,0,Atascadero,93422,35.453912,-120.69461,8,14,Offer D,Yes,45.57,Yes,Yes,Fiber Optic,10.0,No,Yes,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1822.98,Stayed,
3168,3168,3181,Female,62,No,0,Mount Laguna,91948,32.830852,-116.444601,0,59,Offer B,Yes,28.32,Yes,Yes,DSL,9.0,Yes,No,No,Yes,No,Yes,Yes,No,One Year,No,Bank Withdrawal,5891.83,Stayed,
3169,3169,3182,Female,55,No,0,San Diego,92128,33.000269,-117.072093,0,47,No Offer,Yes,26.35,No,Yes,Cable,5.0,Yes,Yes,No,Yes,No,No,No,Yes,One Year,Yes,Credit Card,4051.5,Stayed,
3170,3170,3183,Female,33,Yes,0,Kneeland,95549,40.664483,-123.865325,5,71,No Offer,Yes,43.37,Yes,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,Yes,Bank Withdrawal,4789.42,Stayed,
3171,3171,3184,Male,43,Yes,0,Rosemead,91770,34.065108,-118.082791,1,47,No Offer,Yes,37.74,Yes,Yes,Fiber Optic,7.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,6892.73,Churned,Attitude
3172,3172,3185,Male,40,No,0,Palos Verdes Peninsula,90274,33.788208,-118.404955,0,5,No Offer,Yes,39.13,Yes,Yes,Fiber Optic,20.0,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,695.75,Stayed,
3173,3173,3186,Female,41,Yes,0,Witter Springs,95493,39.222323,-122.985488,1,11,Offer D,Yes,24.83,No,Yes,DSL,30.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,756.83,Churned,Competitor
3174,3174,3187,Female,28,Yes,2,Canyon Dam,95923,40.171312,-121.120605,3,41,No Offer,Yes,20.41,Yes,Yes,Fiber Optic,59.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,5291.06,Stayed,
3175,3175,3188,Male,56,No,0,Fullerton,92831,33.879983,-117.895482,0,52,No Offer,Yes,46.24,No,Yes,Cable,10.0,Yes,Yes,No,No,Yes,No,No,No,Two Year,Yes,Credit Card,5876.93,Stayed,
3176,3176,3189,Male,36,No,0,Auburn,95602,38.99003,-121.114408,0,9,Offer E,Yes,13.72,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Credit Card,305.28,Stayed,
3177,3177,3190,Female,48,No,0,Santa Ana,92704,33.719869,-117.907063,0,9,No Offer,Yes,40.73,No,Yes,DSL,29.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,766.37,Stayed,
3178,3178,3191,Female,40,No,0,San Diego,92122,32.85723,-117.209774,0,10,No Offer,Yes,27.1,No,Yes,Fiber Optic,11.0,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,1117.0,Churned,Competitor
3179,3179,3192,Male,44,No,3,Los Angeles,90032,34.078821,-118.177576,0,12,Offer D,Yes,17.23,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Bank Withdrawal,419.06,Stayed,
3180,3180,3193,Male,22,No,0,San Diego,92121,32.898613,-117.202937,0,22,No Offer,Yes,33.53,No,Yes,DSL,59.0,No,Yes,No,Yes,No,No,No,Yes,One Year,Yes,Credit Card,1930.71,Churned,Competitor
3181,3181,3194,Male,45,Yes,2,Orland,95963,39.748037,-122.302169,9,52,No Offer,Yes,5.51,No,Yes,Cable,19.0,No,Yes,Yes,Yes,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,3752.51,Stayed,
3182,3182,3195,Female,57,Yes,0,Avenal,93204,35.916943,-120.129921,3,43,No Offer,Yes,37.25,No,Yes,DSL,20.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,4101.05,Churned,Other
3183,3183,3196,Female,47,No,0,San Pablo,94806,37.980269,-122.342635,0,13,Offer D,No,0.0,No PhoneService,Yes,DSL,27.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,649.4,Stayed,
3184,3184,3197,Female,63,No,0,Mountain View,94040,37.380662,-122.086022,0,3,Offer E,Yes,5.2,Yes,Yes,Fiber Optic,23.0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,271.9,Churned,Competitor
